PHPS_03504	2b7d8e70662acbb0086d8fca796cfa9b	223	Pfam	PF05018	Protein of unknown function (DUF667)	1	195	4.3E-65	T	27-01-2020	IPR007714	CFA20 domain		
PHPS_01463	5055683e159b906a95df61108ef99ee4	387	Pfam	PF00168	C2 domain	92	195	4.6E-12	T	27-01-2020	IPR000008	C2 domain		
PHPS_00385	786dedad99d4644a57bdc1a69da9679a	629	Pfam	PF10431	C-terminal, D2-small domain, of ClpB protein	524	604	2.6E-23	T	27-01-2020	IPR019489	Clp ATPase, C-terminal		
PHPS_00385	786dedad99d4644a57bdc1a69da9679a	629	Pfam	PF17871	AAA lid domain	93	195	2.1E-34	T	27-01-2020	IPR041546	ClpA/ClpB, AAA lid domain		
PHPS_00385	786dedad99d4644a57bdc1a69da9679a	629	Pfam	PF07724	AAA domain (Cdc48 subfamily)	354	517	1.4E-46	T	27-01-2020	IPR003959	ATPase, AAA-type, core	GO:0005524	
PHPS_06298	ff5d918d91acb8423a85a52ff24a8bf4	620	Pfam	PF16124	RecQ zinc-binding	419	476	1.1E-10	T	27-01-2020	IPR032284	ATP-dependent DNA helicase RecQ, zinc-binding domain		
PHPS_06298	ff5d918d91acb8423a85a52ff24a8bf4	620	Pfam	PF00271	Helicase conserved C-terminal domain	302	404	3.0E-14	T	27-01-2020	IPR001650	Helicase, C-terminal		
PHPS_06298	ff5d918d91acb8423a85a52ff24a8bf4	620	Pfam	PF00270	DEAD/DEAH box helicase	88	258	2.6E-20	T	27-01-2020	IPR011545	DEAD/DEAH box helicase domain	GO:0003676|GO:0005524	
PHPS_03587	8c35e83fc3eec93154c72e39c9ef7b02	352	Pfam	PF13920	Zinc finger, C3HC4 type (RING finger)	288	329	1.1E-12	T	27-01-2020
PHPS_11310	962dd1cebade707b056669dded0a32f9	185	Pfam	PF00188	Cysteine-rich secretory protein family	58	176	2.6E-22	T	27-01-2020	IPR014044	CAP domain		
PHPS_02445	bf695978cf8113a5db939f8aea03375d	512	Pfam	PF00226	DnaJ domain	79	140	2.3E-17	T	27-01-2020	IPR001623	DnaJ domain		
PHPS_15382	75c4a4947dcef089a1ceeaff7851fadc	618	Pfam	PF00817	impB/mucB/samB family	18	234	3.3E-44	T	27-01-2020	IPR001126	UmuC domain	GO:0006281	Reactome: R-HSA-5656169
PHPS_15382	75c4a4947dcef089a1ceeaff7851fadc	618	Pfam	PF18439	Ubiquitin-Binding Zinc Finger	562	589	7.5E-8	T	27-01-2020	IPR041298	Ubiquitin-binding zinc finger		Reactome: R-HSA-110320|Reactome: R-HSA-5656169|Reactome: R-HSA-5685942
PHPS_08482	02b7ba66ee3884495ef620de8394898b	737	Pfam	PF00225	Kinesin motor domain	95	417	2.6E-102	T	27-01-2020	IPR001752	Kinesin motor domain	GO:0003777|GO:0005524|GO:0007018|GO:0008017	Reactome: R-HSA-6811434|Reactome: R-HSA-983189
PHPS_13005	65d1eb68a89dbc9a55de1e40b5948d6f	603	Pfam	PF01926	50S ribosome-binding GTPase	329	389	4.1E-12	T	27-01-2020	IPR006073	GTP binding domain	GO:0005525	
PHPS_05512	c948d6625243ab1807f38906e76ad2e3	314	Pfam	PF05630	Necrosis inducing protein (NPP1)	118	311	3.4E-74	T	27-01-2020	IPR008701	Necrosis inducing protein		
PHPS_12939	7f93ad0330481d7de7e1c88ea4bddf98	814	Pfam	PF07714	Protein tyrosine kinase	584	684	1.8E-12	T	27-01-2020	IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain	GO:0004672|GO:0006468	
PHPS_12939	7f93ad0330481d7de7e1c88ea4bddf98	814	Pfam	PF00069	Protein kinase domain	338	494	9.4E-27	T	27-01-2020	IPR000719	Protein kinase domain	GO:0004672|GO:0005524|GO:0006468	
PHPS_02306	b5e9f5d83bf32e02a9c77264e2aba4c6	431	Pfam	PF00069	Protein kinase domain	165	417	3.1E-46	T	27-01-2020	IPR000719	Protein kinase domain	GO:0004672|GO:0005524|GO:0006468	
PHPS_10577	26553fa2f6cce12bf18a06bb0de37143	473	Pfam	PF13450	NAD(P)-binding Rossmann-like domain	5	69	9.9E-15	T	27-01-2020
