PHCH_08060	dde1cfc97556780de850119473f2ed1e	474	Pfam	PF13347	MFS/sugar transport protein	44	257	1.2E-13	T	27-01-2020
PHCH_04345	54d633dd11e7c5c8a8ec77a50ada390b	774	Pfam	PF00375	Sodium:dicarboxylate symporter family	473	754	1.2E-18	T	27-01-2020	IPR001991	Sodium:dicarboxylate symporter	GO:0015293|GO:0016021	
PHCH_04345	54d633dd11e7c5c8a8ec77a50ada390b	774	Pfam	PF00375	Sodium:dicarboxylate symporter family	301	398	1.8E-7	T	27-01-2020	IPR001991	Sodium:dicarboxylate symporter	GO:0015293|GO:0016021	
PHCH_11298	a10977a8d552bd045b4f00755c2c1cba	968	Pfam	PF06424	PRP1 splicing factor, N-terminal	16	208	9.3E-56	T	27-01-2020	IPR010491	PRP1 splicing factor, N-terminal	GO:0000398	Reactome: R-HSA-72163|Reactome: R-HSA-72165
PHCH_11298	a10977a8d552bd045b4f00755c2c1cba	968	Pfam	PF14559	Tetratricopeptide repeat	643	701	1.4E-6	T	27-01-2020
PHCH_09854	31cf240b91f5acc23ee8ea5f118b91c3	138	Pfam	PF01248	Ribosomal protein L7Ae/L30e/S12e/Gadd45 family	20	114	9.7E-26	T	27-01-2020	IPR004038	Ribosomal protein L7Ae/L30e/S12e/Gadd45		
PHCH_00904	f12ecae64e57d9a26caa105ae3646c24	795	Pfam	PF01363	FYVE zinc finger	339	442	5.2E-13	T	27-01-2020	IPR000306	FYVE zinc finger	GO:0046872	
PHCH_14716	68d0bad2c4423cc9dffe8a6ad68b38ff	365	Pfam	PF03690	Uncharacterised protein family (UPF0160)	36	357	5.9E-127	T	27-01-2020	IPR003226	Metal-dependent protein hydrolase		
PHCH_12345	c53daceae2c49ca81d7a0650fbcaceec	1425	Pfam	PF08514	STAG domain	213	310	2.5E-29	T	27-01-2020	IPR013721	STAG		
PHCH_06458	37208d3cae8d14b6db6498c5ac34b52d	324	Pfam	PF02535	ZIP Zinc transporter	7	321	7.9E-50	T	27-01-2020	IPR003689	Zinc/iron permease	GO:0016020|GO:0030001|GO:0046873|GO:0055085	
PHCH_14511	3e75872aca4ceaa47688cc6472eea1a0	340	Pfam	PF04142	Nucleotide-sugar transporter	43	326	6.9E-23	T	27-01-2020	IPR007271	Nucleotide-sugar transporter	GO:0000139|GO:0015165|GO:0016021|GO:0090481	
PHCH_10847	184ff15757f4dd18cb89a9d42b8b6fca	278	Pfam	PF00078	Reverse transcriptase (RNA-dependent DNA polymerase)	1	105	3.7E-7	T	27-01-2020	IPR000477	Reverse transcriptase domain		
PHCH_10847	184ff15757f4dd18cb89a9d42b8b6fca	278	Pfam	PF17919	RNase H-like domain found in reverse transcriptase	181	257	4.4E-17	T	27-01-2020	IPR041577	Reverse transcriptase/retrotransposon-derived protein, RNase H-like domain		
PHCH_00961	f1d94e2fe0285be21bafb063fb23a4ba	403	Pfam	PF13516	Leucine Rich repeat	282	305	0.0083	T	27-01-2020	IPR001611	Leucine-rich repeat	GO:0005515	
PHCH_00961	f1d94e2fe0285be21bafb063fb23a4ba	403	Pfam	PF13516	Leucine Rich repeat	256	279	1.3E-4	T	27-01-2020	IPR001611	Leucine-rich repeat	GO:0005515	
PHCH_15057	7ec13c710e798dcfa348977c322d7415	170	Pfam	PF01246	Ribosomal protein L24e	1	64	2.9E-32	T	27-01-2020	IPR000988	Ribosomal protein L24e-related		
PHCH_09975	bd08623f82dce59ed862c8107ef891a3	609	Pfam	PF12796	Ankyrin repeats (3 copies)	377	449	1.1E-6	T	27-01-2020	IPR020683	Ankyrin repeat-containing domain		
PHCH_16150	9be65d15d46754db67d684e0054c7576	262	Pfam	PF17123	RING-like zinc finger	57	85	7.3E-11	T	27-01-2020	IPR001841	Zinc finger, RING-type		
PHCH_11571	96861e12f3b9b8ffa20a0ee46891d022	303	Pfam	PF00400	WD domain, G-beta repeat	261	293	3.1E-4	T	27-01-2020	IPR001680	WD40 repeat	GO:0005515	
PHCH_11571	96861e12f3b9b8ffa20a0ee46891d022	303	Pfam	PF00400	WD domain, G-beta repeat	221	256	1.5E-8	T	27-01-2020	IPR001680	WD40 repeat	GO:0005515	
PHCH_11571	96861e12f3b9b8ffa20a0ee46891d022	303	Pfam	PF08662	Eukaryotic translation initiation factor eIF2A	110	204	6.2E-6	T	27-01-2020	IPR013979	Translation initiation factor, beta propellor-like domain		
PHCH_01971	80077d89bee4ed3df311285abb977af8	185	Pfam	PF00964	Elicitin	23	108	2.6E-12	T	27-01-2020	IPR002200	Elicitin	GO:0005576|GO:0009405	
PHCH_03606	68c8158c95b291096b2f1510e1ccfe96	754	Pfam	PF01532	Glycosyl hydrolase family 47	46	473	3.8E-109	T	27-01-2020	IPR001382	Glycoside hydrolase family 47	GO:0004571|GO:0005509|GO:0016020	
PHCH_03606	68c8158c95b291096b2f1510e1ccfe96	754	Pfam	PF02225	PA domain	624	721	6.1E-12	T	27-01-2020	IPR003137	PA domain		
PHCH_04964	74919785bef9e4059578cb990ca14ab8	547	Pfam	PF00385	Chromo (CHRromatin Organisation MOdifier) domain	216	249	1.4E-7	T	27-01-2020	IPR023780	Chromo domain		
PHCH_07566	eccffd8620c1d1e4698907a805ca3df0	578	Pfam	PF00004	ATPase family associated with various cellular activities (AAA)	461	509	1.4E-4	T	27-01-2020	IPR003959	ATPase, AAA-type, core	GO:0005524	
PHCH_07566	eccffd8620c1d1e4698907a805ca3df0	578	Pfam	PF00004	ATPase family associated with various cellular activities (AAA)	323	399	1.5E-9	T	27-01-2020	IPR003959	ATPase, AAA-type, core	GO:0005524	
PHCH_02861	9103efa8e90bbb02aa7de019466a8850	1299	Pfam	PF05378	Hydantoinase/oxoprolinase N-terminal region	5	217	1.4E-56	T	27-01-2020	IPR008040	Hydantoinaseoxoprolinase, N-terminal		Reactome: R-HSA-174403|Reactome: R-HSA-5578998
PHCH_02861	9103efa8e90bbb02aa7de019466a8850	1299	Pfam	PF02538	Hydantoinase B/oxoprolinase	767	1297	1.4E-212	T	27-01-2020	IPR003692	Hydantoinase B/oxoprolinase	GO:0003824	Reactome: R-HSA-174403|Reactome: R-HSA-5578998
PHCH_02861	9103efa8e90bbb02aa7de019466a8850	1299	Pfam	PF01968	Hydantoinase/oxoprolinase	237	537	4.3E-97	T	27-01-2020	IPR002821	Hydantoinase A/oxoprolinase	GO:0016787	Reactome: R-HSA-174403|Reactome: R-HSA-5578998
PHCH_14316	15e535c3487809cac9897ef357bcd57b	566	Pfam	PF00211	Adenylate and Guanylate cyclase catalytic domain	329	494	1.2E-11	T	27-01-2020	IPR001054	Adenylyl cyclase class-3/4/guanylyl cyclase	GO:0009190|GO:0035556	
PHCH_09769	eaee863a9db32386601ddb5997cd91ed	1498	Pfam	PF00612	IQ calmodulin-binding motif	537	556	0.14	T	27-01-2020	IPR000048	IQ motif, EF-hand binding site	GO:0005515	
PHCH_09769	eaee863a9db32386601ddb5997cd91ed	1498	Pfam	PF00612	IQ calmodulin-binding motif	482	498	0.21	T	27-01-2020	IPR000048	IQ motif, EF-hand binding site	GO:0005515	
PHCH_09769	eaee863a9db32386601ddb5997cd91ed	1498	Pfam	PF00612	IQ calmodulin-binding motif	730	744	0.016	T	27-01-2020	IPR000048	IQ motif, EF-hand binding site	GO:0005515	
PHCH_09769	eaee863a9db32386601ddb5997cd91ed	1498	Pfam	PF00612	IQ calmodulin-binding motif	806	819	0.029	T	27-01-2020	IPR000048	IQ motif, EF-hand binding site	GO:0005515	
PHCH_09769	eaee863a9db32386601ddb5997cd91ed	1498	Pfam	PF00612	IQ calmodulin-binding motif	654	668	0.016	T	27-01-2020	IPR000048	IQ motif, EF-hand binding site	GO:0005515	
PHCH_09769	eaee863a9db32386601ddb5997cd91ed	1498	Pfam	PF00612	IQ calmodulin-binding motif	845	860	0.012	T	27-01-2020	IPR000048	IQ motif, EF-hand binding site	GO:0005515	
PHCH_09653	9972faa2388953045357526e4aeb1fe3	449	Pfam	PF00295	Glycosyl hydrolases family 28	136	438	2.1E-72	T	27-01-2020	IPR000743	Glycoside hydrolase, family 28	GO:0004650|GO:0005975	
PHCH_17210	81bb36a97329e1bc71de6dfe77360f93	500	Pfam	PF07992	Pyridine nucleotide-disulphide oxidoreductase	27	350	3.7E-60	T	27-01-2020	IPR023753	FAD/NAD(P)-binding domain	GO:0016491|GO:0055114	
PHCH_17210	81bb36a97329e1bc71de6dfe77360f93	500	Pfam	PF02852	Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain	371	491	3.6E-31	T	27-01-2020	IPR004099	Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain	GO:0045454|GO:0055114	
PHCH_04729	b588e5c9e0e2a7da7ddecaec1b66956e	996	Pfam	PF03764	Elongation factor G, domain IV	733	847	8.9E-23	T	27-01-2020	IPR005517	Translation elongation factor EFG/EF2, domain IV	GO:0005525	
